YEARS,Tourists_Number,Overnight_Stay,Tourists_Spending,Avg_Stay,Avg_Spending_Trip,Avg_Spending_Night,Province,Tourism_Type,Year_int
2015-01-01,1164.0,4769.0,980.0,4.1,842.0,206.0,Tabuk,Domestic,2015
2015-01-01,30.3,102.5,38.0,3.4,1262.0,373.0,Tabuk,Domestic,2015
2015-01-01,43.0,190.0,42.0,4.4,975.0,220.0,Tabuk,Domestic,2015
2015-01-01,334.0,1162.0,203.0,3.5,606.0,174.0,Tabuk,Domestic,2015
2015-01-01,648.0,2957.5,610.0,4.6,941.0,206.0,Tabuk,Domestic,2015
2015-01-01,109.0,357.0,87.0,3.3,804.0,245.0,Tabuk,Domestic,2015
2015-01-01,298.0,1477.0,754.0,5.0,2529.0,511.0,Tabuk,Inbound,2015
2015-01-01,10.4,55.0,37.0,5.3,3551.0,675.0,Tabuk,Inbound,2015
2015-01-01,48.0,100.0,64.0,2.1,1331.0,640.0,Tabuk,Inbound,2015
2015-01-01,240.0,1322.0,653.0,5.5,2725.0,494.0,Tabuk,Inbound,2015
2016-01-01,1150.0,4936.0,1000.0,4.3,869.0,203.0,Tabuk,Domestic,2016
2016-01-01,56.8,227.0,53.0,4.0,941.0,236.0,Tabuk,Domestic,2016
2016-01-01,99.0,265.0,55.0,2.7,555.0,207.0,Tabuk,Domestic,2016
2016-01-01,178.0,818.0,169.0,4.6,949.0,206.0,Tabuk,Domestic,2016
2016-01-01,725.2,3362.0,653.0,4.6,900.0,194.0,Tabuk,Domestic,2016
2016-01-01,91.0,264.0,70.0,2.9,766.0,265.0,Tabuk,Domestic,2016
2016-01-01,134.0,914.0,379.0,6.8,2826.0,415.0,Tabuk,Inbound,2016
2016-01-01,1.2,3.4,3.0,2.7,2273.0,831.0,Tabuk,Inbound,2016
2016-01-01,14.0,60.0,34.0,4.1,2319.0,562.0,Tabuk,Inbound,2016
2016-01-01,13.0,90.0,31.0,7.1,2433.0,343.0,Tabuk,Inbound,2016
2016-01-01,106.0,760.0,312.0,7.2,2949.0,410.0,Tabuk,Inbound,2016
2017-01-01,1228.0,5965.0,1008.0,4.9,821.0,169.0,Tabuk,Domestic,2017
2017-01-01,54.0,453.0,49.0,8.4,917.0,109.0,Tabuk,Domestic,2017
2017-01-01,69.0,233.0,61.0,3.4,892.0,263.0,Tabuk,Domestic,2017
2017-01-01,173.0,662.0,142.0,3.8,816.0,214.0,Tabuk,Domestic,2017
2017-01-01,861.0,4394.0,709.0,5.1,823.0,161.0,Tabuk,Domestic,2017
2017-01-01,72.0,223.0,47.0,3.1,658.0,212.0,Tabuk,Domestic,2017
2017-01-01,105.0,403.0,255.0,3.8,2437.0,635.0,Tabuk,Inbound,2017
2017-01-01,9.0,27.0,24.0,3.1,2773.0,887.0,Tabuk,Inbound,2017
2017-01-01,7.0,24.0,17.0,3.5,2436.0,696.0,Tabuk,Inbound,2017
2017-01-01,89.0,351.0,214.0,3.9,2404.0,611.0,Tabuk,Inbound,2017
2018-01-01,1246.0,6807.0,1218.0,5.5,977.0,179.0,Tabuk,Domestic,2018
2018-01-01,60.0,453.0,57.0,7.5,951.0,126.0,Tabuk,Domestic,2018
2018-01-01,108.0,446.0,114.0,4.1,1052.0,255.0,Tabuk,Domestic,2018
2018-01-01,200.0,708.0,149.0,3.5,742.0,210.0,Tabuk,Domestic,2018
2018-01-01,793.0,4706.0,811.0,5.9,1023.0,172.0,Tabuk,Domestic,2018
2018-01-01,85.0,495.0,87.0,5.8,1032.0,177.0,Tabuk,Domestic,2018
2018-01-01,110.0,542.0,239.0,4.9,2163.0,441.0,Tabuk,Inbound,2018
2018-01-01,11.0,63.0,18.0,5.5,1587.0,287.0,Tabuk,Inbound,2018
2018-01-01,6.0,21.0,10.0,3.6,1841.0,507.0,Tabuk,Inbound,2018
2018-01-01,93.0,456.0,209.0,4.9,2252.0,459.0,Tabuk,Inbound,2018
2018-01-01,0.3,2.0,1.0,5.3,2744.0,516.0,Tabuk,Inbound,2018
2019-01-01,1441.0,8605.0,2050.0,6.0,1423.0,238.0,Tabuk,Domestic,2019
2019-01-01,78.0,579.0,99.0,7.5,1277.0,171.0,Tabuk,Domestic,2019
2019-01-01,148.0,832.0,266.0,5.6,1790.0,320.0,Tabuk,Domestic,2019
2019-01-01,355.0,1558.0,533.0,4.4,1503.0,342.0,Tabuk,Domestic,2019
2019-01-01,773.0,5166.0,1045.0,6.7,1352.0,202.0,Tabuk,Domestic,2019
2019-01-01,87.0,470.0,107.0,5.4,1229.0,228.0,Tabuk,Domestic,2019
2019-01-01,112.0,494.0,301.0,4.4,2688.0,609.0,Tabuk,Inbound,2019
2019-01-01,0.4,2.0,2.0,5.0,5050.0,1010.0,Tabuk,Inbound,2019
2019-01-01,9.0,60.0,20.0,6.4,2186.0,342.0,Tabuk,Inbound,2019
2019-01-01,3.0,11.0,6.0,3.5,1902.0,551.0,Tabuk,Inbound,2019
2019-01-01,99.0,420.0,272.0,4.3,2752.0,646.0,Tabuk,Inbound,2019
2019-01-01,298.0,1.0,932.0,4.3,1838.0,430.0,Tabuk,Inbound,2019
2020-01-01,2043.0,11677.0,2765.0,5.7,1354.0,237.0,Tabuk,Domestic,2020
2020-01-01,99.2,649.0,97.0,6.6,982.0,150.0,Tabuk,Domestic,2020
2020-01-01,230.0,1149.0,344.0,5.0,1498.0,299.0,Tabuk,Domestic,2020
2020-01-01,686.0,3521.0,1046.0,5.1,1525.0,297.0,Tabuk,Domestic,2020
2020-01-01,927.9,5636.0,1169.0,6.1,1260.0,207.0,Tabuk,Domestic,2020
2020-01-01,100.0,721.0,108.0,7.2,1084.0,150.0,Tabuk,Domestic,2020
2020-01-01,21.0,186.0,110.0,8.7,5138.0,594.0,Tabuk,Inbound,2020
2020-01-01,3.0,46.0,21.0,14.8,6830.0,463.0,Tabuk,Inbound,2020
2020-01-01,1.0,6.0,3.0,8.3,4153.0,501.0,Tabuk,Inbound,2020
2020-01-01,17.7,134.1,86.0,7.6,4882.0,643.0,Tabuk,Inbound,2020
2021-01-01,2288.0,12673.0,4286.0,5.5,1873.0,338.0,Tabuk,Domestic,2021
2021-01-01,130.0,690.0,219.0,5.3,1680.0,317.0,Tabuk,Domestic,2021
2021-01-01,181.0,799.0,427.0,4.4,2359.0,534.0,Tabuk,Domestic,2021
2021-01-01,392.0,1843.0,935.0,4.7,2383.0,507.0,Tabuk,Domestic,2021
2021-01-01,1407.0,8265.0,2460.0,5.9,1749.0,298.0,Tabuk,Domestic,2021
2021-01-01,178.0,1076.0,246.0,6.0,1379.0,229.0,Tabuk,Domestic,2021
2021-01-01,38.0,421.0,222.0,11.2,5907.0,526.0,Tabuk,Inbound,2021
2021-01-01,2.0,7.0,9.0,3.2,3768.0,1181.0,Tabuk,Inbound,2021
2021-01-01,298.0,1.0,1.0,7.8,4745.0,611.0,Tabuk,Inbound,2021
2021-01-01,12.8,78.0,77.0,6.1,6061.0,988.0,Tabuk,Inbound,2021
2021-01-01,22.0,334.0,135.0,15.0,6050.0,403.0,Tabuk,Inbound,2021
2022-01-01,2610.0,14063.0,5378.0,5.4,2061.0,382.0,Tabuk,Domestic,2022
2022-01-01,146.0,764.0,265.0,5.2,1822.0,348.0,Tabuk,Domestic,2022
2022-01-01,220.0,916.0,516.0,4.2,2350.0,563.0,Tabuk,Domestic,2022
2022-01-01,397.0,1762.0,1186.0,4.4,2983.0,673.0,Tabuk,Domestic,2022
2022-01-01,1675.0,9761.0,3097.0,5.8,1849.0,317.0,Tabuk,Domestic,2022
2022-01-01,172.0,861.0,314.0,5.0,1825.0,365.0,Tabuk,Domestic,2022
2022-01-01,86.0,1259.0,306.0,14.6,3545.0,243.0,Tabuk,Inbound,2022
2022-01-01,298.0,4.0,2.0,9.0,3350.0,372.0,Tabuk,Inbound,2022
2022-01-01,2.0,20.0,6.0,8.9,2843.0,320.0,Tabuk,Inbound,2022
2022-01-01,298.0,1.0,932.0,9.0,5255.0,584.0,Tabuk,Inbound,2022
2022-01-01,83.0,1229.0,296.0,14.9,3578.0,241.0,Tabuk,Inbound,2022
2022-01-01,1.0,5.0,2.0,6.4,2025.0,319.0,Tabuk,Inbound,2022
2023-01-01,2817.0,18465.0,4202.0,6.6,1491.0,228.0,Tabuk,Domestic,2023
2023-01-01,189.0,1798.0,182.0,9.5,959.0,101.0,Tabuk,Domestic,2023
2023-01-01,294.0,953.0,196.0,3.2,667.0,206.0,Tabuk,Domestic,2023
2023-01-01,462.0,3448.0,282.0,7.5,609.0,82.0,Tabuk,Domestic,2023
2023-01-01,1654.0,10881.0,3330.0,6.6,2013.0,306.0,Tabuk,Domestic,2023
2023-01-01,217.0,1385.0,212.0,6.4,980.0,153.0,Tabuk,Domestic,2023
2023-01-01,138.0,1177.0,341.0,8.5,2472.0,290.0,Tabuk,Inbound,2023
2023-01-01,3.0,24.0,10.0,8.4,3535.0,423.0,Tabuk,Inbound,2023
2023-01-01,12.0,110.0,32.0,9.5,2775.0,293.0,Tabuk,Inbound,2023
2023-01-01,11.0,82.0,23.0,7.8,2145.0,277.0,Tabuk,Inbound,2023
2023-01-01,106.0,910.0,259.0,8.6,2446.0,284.0,Tabuk,Inbound,2023
2023-01-01,7.0,51.0,17.0,7.2,2438.0,340.0,Tabuk,Inbound,2023
2024-01-01,3090.0,21462.0,4880.0,6.9,1579.0,227.0,Tabuk,Domestic,2024
2024-01-01,207.0,1926.0,216.0,9.3,1039.0,112.0,Tabuk,Domestic,2024
2024-01-01,311.0,1188.0,181.0,3.8,582.0,152.0,Tabuk,Domestic,2024
2024-01-01,477.0,2854.0,308.0,6.0,644.0,108.0,Tabuk,Domestic,2024
2024-01-01,1843.0,13440.0,3795.0,7.3,2059.0,282.0,Tabuk,Domestic,2024
2024-01-01,252.0,2054.0,381.0,8.2,1511.0,185.0,Tabuk,Domestic,2024
2024-01-01,154.0,4581.0,932.0,29.7,6050.0,203.0,Tabuk,Inbound,2024
2024-01-01,2.0,104.0,16.0,42.2,6607.0,157.0,Tabuk,Inbound,2024
2024-01-01,11.0,293.0,85.0,26.3,7659.0,291.0,Tabuk,Inbound,2024
2024-01-01,9.0,131.0,20.0,14.1,2194.0,155.0,Tabuk,Inbound,2024
2024-01-01,126.0,3866.0,753.0,30.7,5978.0,195.0,Tabuk,Inbound,2024
2024-01-01,5.0,186.0,58.0,35.2,10882.0,309.0,Tabuk,Inbound,2024
